lexicon,specific,word
sentiment,negative_lexicon,abandon
sentiment,negative_lexicon,abandon
sentiment,negative_lexicon,abuse
sentiment,negative_lexicon,abuse
sentiment,negative_lexicon,abusi
sentiment,negative_lexicon,abusi
sentiment,negative_lexicon,ache
sentiment,negative_lexicon,ache
sentiment,negative_lexicon,aching
sentiment,negative_lexicon,aching
sentiment,negative_lexicon,advers
sentiment,negative_lexicon,afraid
sentiment,negative_lexicon,aggravat
sentiment,negative_lexicon,aggravat
sentiment,negative_lexicon,aggress
sentiment,negative_lexicon,aggress
sentiment,negative_lexicon,agitat
sentiment,negative_lexicon,agitat
sentiment,negative_lexicon,agoniz
sentiment,negative_lexicon,agoniz
sentiment,negative_lexicon,agony
sentiment,negative_lexicon,agony
sentiment,negative_lexicon,alarm
sentiment,negative_lexicon,alive
sentiment,negative_lexicon,alone
sentiment,negative_lexicon,alone
sentiment,negative_lexicon,anger
sentiment,negative_lexicon,anger
sentiment,negative_lexicon,angr
sentiment,negative_lexicon,angr
sentiment,negative_lexicon,anguish
sentiment,negative_lexicon,annoy
sentiment,negative_lexicon,annoy
sentiment,negative_lexicon,antagoni
sentiment,negative_lexicon,antagoni
sentiment,negative_lexicon,anxi
sentiment,negative_lexicon,apath
sentiment,negative_lexicon,appall
sentiment,negative_lexicon,apprehens
sentiment,negative_lexicon,argh
sentiment,negative_lexicon,argh
sentiment,negative_lexicon,argu
sentiment,negative_lexicon,argu
sentiment,negative_lexicon,arrogan
sentiment,negative_lexicon,arrogan
sentiment,negative_lexicon,arse
sentiment,negative_lexicon,arsehole
sentiment,negative_lexicon,arses
sentiment,negative_lexicon,asham
sentiment,negative_lexicon,ass
sentiment,negative_lexicon,assault
sentiment,negative_lexicon,assault
sentiment,negative_lexicon,asses
sentiment,negative_lexicon,asshole
sentiment,negative_lexicon,asshole
sentiment,negative_lexicon,asshole
sentiment,negative_lexicon,attack
sentiment,negative_lexicon,attack
sentiment,negative_lexicon,autops
sentiment,negative_lexicon,aversi
sentiment,negative_lexicon,avoid
sentiment,negative_lexicon,awful
sentiment,negative_lexicon,awkward
sentiment,negative_lexicon,bad
sentiment,negative_lexicon,bashful
sentiment,negative_lexicon,bastard
sentiment,negative_lexicon,bastard
sentiment,negative_lexicon,bastard
sentiment,negative_lexicon,battl
sentiment,negative_lexicon,battl
sentiment,negative_lexicon,beaten
sentiment,negative_lexicon,beaten
sentiment,negative_lexicon,bereave
sentiment,negative_lexicon,bitch
sentiment,negative_lexicon,bitch
sentiment,negative_lexicon,bitch
sentiment,negative_lexicon,bitter
sentiment,negative_lexicon,bitter
sentiment,negative_lexicon,blam
sentiment,negative_lexicon,blam
sentiment,negative_lexicon,bloody
sentiment,negative_lexicon,boob
sentiment,negative_lexicon,bore
sentiment,negative_lexicon,boring
sentiment,negative_lexicon,bother
sentiment,negative_lexicon,bother
sentiment,negative_lexicon,broke
sentiment,negative_lexicon,broke
sentiment,negative_lexicon,brutal
sentiment,negative_lexicon,brutal
sentiment,negative_lexicon,burden
sentiment,negative_lexicon,burial
sentiment,negative_lexicon,buried
sentiment,negative_lexicon,bury
sentiment,negative_lexicon,butt
sentiment,negative_lexicon,butt's
sentiment,negative_lexicon,butts
sentiment,negative_lexicon,careless
sentiment,negative_lexicon,casket
sentiment,negative_lexicon,casualt
sentiment,negative_lexicon,cemet
sentiment,negative_lexicon,cheat
sentiment,negative_lexicon,cheat
sentiment,negative_lexicon,cock
sentiment,negative_lexicon,cocks
sentiment,negative_lexicon,coffin
sentiment,negative_lexicon,complain
sentiment,negative_lexicon,confront
sentiment,negative_lexicon,confront
sentiment,negative_lexicon,confus
sentiment,negative_lexicon,contempt
sentiment,negative_lexicon,contempt
sentiment,negative_lexicon,contradic
sentiment,negative_lexicon,contradic
sentiment,negative_lexicon,coroner
sentiment,negative_lexicon,coroner
sentiment,negative_lexicon,corpse
sentiment,negative_lexicon,crap
sentiment,negative_lexicon,crap
sentiment,negative_lexicon,crap
sentiment,negative_lexicon,crappy
sentiment,negative_lexicon,crappy
sentiment,negative_lexicon,crappy
sentiment,negative_lexicon,craz
sentiment,negative_lexicon,cremat
sentiment,negative_lexicon,cried
sentiment,negative_lexicon,cried
sentiment,negative_lexicon,cries
sentiment,negative_lexicon,cries
sentiment,negative_lexicon,critical
sentiment,negative_lexicon,critical
sentiment,negative_lexicon,critici
sentiment,negative_lexicon,critici
sentiment,negative_lexicon,crude
sentiment,negative_lexicon,crude
sentiment,negative_lexicon,cruel
sentiment,negative_lexicon,cruel
sentiment,negative_lexicon,crushed
sentiment,negative_lexicon,crushed
sentiment,negative_lexicon,cry
sentiment,negative_lexicon,cry
sentiment,negative_lexicon,crying
sentiment,negative_lexicon,crying
sentiment,negative_lexicon,crypt
sentiment,negative_lexicon,cunt
sentiment,negative_lexicon,cunt
sentiment,negative_lexicon,cunt
sentiment,negative_lexicon,cut
sentiment,negative_lexicon,cut
sentiment,negative_lexicon,cynic
sentiment,negative_lexicon,cynic
sentiment,negative_lexicon,damag
sentiment,negative_lexicon,damag
sentiment,negative_lexicon,damn
sentiment,negative_lexicon,damn
sentiment,negative_lexicon,damn
sentiment,negative_lexicon,dang
sentiment,negative_lexicon,danger
sentiment,negative_lexicon,danger
sentiment,negative_lexicon,darn
sentiment,negative_lexicon,daze
sentiment,negative_lexicon,dead
sentiment,negative_lexicon,death
sentiment,negative_lexicon,decay
sentiment,negative_lexicon,decease
sentiment,negative_lexicon,defeat
sentiment,negative_lexicon,defeat
sentiment,negative_lexicon,defect
sentiment,negative_lexicon,defenc
sentiment,negative_lexicon,defenc
sentiment,negative_lexicon,defens
sentiment,negative_lexicon,defens
sentiment,negative_lexicon,degrad
sentiment,negative_lexicon,demise
sentiment,negative_lexicon,depress
sentiment,negative_lexicon,depress
sentiment,negative_lexicon,depriv
sentiment,negative_lexicon,depriv
sentiment,negative_lexicon,despair
sentiment,negative_lexicon,despair
sentiment,negative_lexicon,desperat
sentiment,negative_lexicon,despis
sentiment,negative_lexicon,despis
sentiment,negative_lexicon,destroy
sentiment,negative_lexicon,destroy
sentiment,negative_lexicon,destruct
sentiment,negative_lexicon,destruct
sentiment,negative_lexicon,devastat
sentiment,negative_lexicon,devastat
sentiment,negative_lexicon,devil
sentiment,negative_lexicon,dick
sentiment,negative_lexicon,dicks
sentiment,negative_lexicon,die
sentiment,negative_lexicon,died
sentiment,negative_lexicon,dies
sentiment,negative_lexicon,difficult
sentiment,negative_lexicon,disadvantage
sentiment,negative_lexicon,disadvantage
sentiment,negative_lexicon,disagree
sentiment,negative_lexicon,disappoint
sentiment,negative_lexicon,disappoint
sentiment,negative_lexicon,disaster
sentiment,negative_lexicon,discomfort
sentiment,negative_lexicon,discourag
sentiment,negative_lexicon,discourag
sentiment,negative_lexicon,disgust
sentiment,negative_lexicon,disgust
sentiment,negative_lexicon,dishearten
sentiment,negative_lexicon,dishearten
sentiment,negative_lexicon,disillusion
sentiment,negative_lexicon,disillusion
sentiment,negative_lexicon,dislike
sentiment,negative_lexicon,disliked
sentiment,negative_lexicon,dislikes
sentiment,negative_lexicon,disliking
sentiment,negative_lexicon,dismay
sentiment,negative_lexicon,dissatisf
sentiment,negative_lexicon,dissatisf
sentiment,negative_lexicon,distract
sentiment,negative_lexicon,distraught
sentiment,negative_lexicon,distress
sentiment,negative_lexicon,distrust
sentiment,negative_lexicon,distrust
sentiment,negative_lexicon,disturb
sentiment,negative_lexicon,doa
sentiment,negative_lexicon,domina
sentiment,negative_lexicon,domina
sentiment,negative_lexicon,doom
sentiment,negative_lexicon,doom
sentiment,negative_lexicon,dork
sentiment,negative_lexicon,doubt
sentiment,negative_lexicon,dread
sentiment,negative_lexicon,drown
sentiment,negative_lexicon,dull
sentiment,negative_lexicon,dull
sentiment,negative_lexicon,dumb
sentiment,negative_lexicon,dumb
sentiment,negative_lexicon,dumb
sentiment,negative_lexicon,dump
sentiment,negative_lexicon,dump
sentiment,negative_lexicon,dwell
sentiment,negative_lexicon,dying
sentiment,negative_lexicon,dyke
sentiment,negative_lexicon,egotis
sentiment,negative_lexicon,embalm
sentiment,negative_lexicon,embarrass
sentiment,negative_lexicon,emotional
sentiment,negative_lexicon,empt
sentiment,negative_lexicon,empt
sentiment,negative_lexicon,enemie
sentiment,negative_lexicon,enemie
sentiment,negative_lexicon,enemy
sentiment,negative_lexicon,enemy
