['perspective_score', 'stanford_polite']
Looping through test_issues
shiny/rstudio/1595 0
ggplot2/tidyverse/3361 0
ggplot2/tidyverse/2468 0
dplyr/tidyverse/1244 0
dplyr/tidyverse/2214 0
tensorflow/rstudio/30 0
dplyr/tidyverse/1809 0
ggplot2/tidyverse/34 0
dplyr/tidyverse/2213 0
tensorflow/rstudio/29 0
dplyr/tidyverse/1243 0
dplyr/tidyverse/1808 0
ggplot2/tidyverse/32 0
ggplot2/tidyverse/2467 0
dplyr/tidyverse/2212 0
dplyr/tidyverse/1242 0
ggplot2/tidyverse/31 0
dplyr/tidyverse/1807 0
ggplot2/tidyverse/1917 0
dplyr/tidyverse/2211 0
ggplot2/tidyverse/3360 0
dplyr/tidyverse/1241 0
dplyr/tidyverse/1810 0
ggplot2/tidyverse/35 0
ggplot2/tidyverse/1918 0
dplyr/tidyverse/2215 0
ggplot2/tidyverse/3363 0
dplyr/tidyverse/1814 0
tensorflow/rstudio/32 0
ggplot2/tidyverse/45 0
ggplot2/tidyverse/2470 0
dplyr/tidyverse/1248 0
dplyr/tidyverse/1813 0
ggplot2/tidyverse/3362 0
dplyr/tidyverse/1247 0
ggplot2/tidyverse/38 0
ggplot2/tidyverse/29 0
dplyr/tidyverse/2217 0
dplyr/tidyverse/1812 0
ggplot2/tidyverse/37 0
dplyr/tidyverse/1246 0
ggplot2/tidyverse/2469 0
dplyr/tidyverse/2216 0
ggplot2/tidyverse/1919 0
ggplot2/tidyverse/36 0
dplyr/tidyverse/1811 0
tensorflow/rstudio/31 0
dplyr/tidyverse/1245 0
ggplot2/tidyverse/1920 0
dplyr/tidyverse/2218 0
dplyr/tidyverse/1806 0
dplyr/tidyverse/2210 0
dplyr/tidyverse/2205 0
ggplot2/tidyverse/3355 0
ggplot2/tidyverse/1915 0
ggplot2/tidyverse/15 0
dplyr/tidyverse/1800 0
tensorflow/rstudio/26 0
dplyr/tidyverse/1233 0
ggplot2/tidyverse/3354 0
ggplot2/tidyverse/2464 0
dplyr/tidyverse/2204 0
dplyr/tidyverse/1799 0
dplyr/tidyverse/1232 0
ggplot2/tidyverse/3353 0
tensorflow/rstudio/25 0
ggplot2/tidyverse/7 0
ggplot2/tidyverse/1914 0
dplyr/tidyverse/1797 0
dplyr/tidyverse/1231 0
ggplot2/tidyverse/3351 0
ggplot2/tidyverse/6 0
ggplot2/tidyverse/1913 0
dplyr/tidyverse/1234 0
ggplot2/tidyverse/17 0
dplyr/tidyverse/1801 0
dplyr/tidyverse/1235 0
ggplot2/tidyverse/2466 0
ggplot2/tidyverse/28 0
dplyr/tidyverse/1240 0
dplyr/tidyverse/1805 0
dplyr/tidyverse/2209 0
ggplot2/tidyverse/26 0
ggplot2/tidyverse/2465 0
dplyr/tidyverse/1239 0
dplyr/tidyverse/1804 0
dplyr/tidyverse/2208 0
tensorflow/rstudio/28 0
ggplot2/tidyverse/24 0
dplyr/tidyverse/2207 0
dplyr/tidyverse/1803 0
ggplot2/tidyverse/3359 0
ggplot2/tidyverse/22 0
dplyr/tidyverse/1236 0
dplyr/tidyverse/1802 0
dplyr/tidyverse/2206 0
ggplot2/tidyverse/18 0
ggplot2/tidyverse/1916 0
ggplot2/tidyverse/3358 0
dplyr/tidyverse/1237 0
dplyr/tidyverse/1249 0
ggplot2/tidyverse/47 0
ggplot2/tidyverse/1921 0
dplyr/tidyverse/1264 0
ggplot2/tidyverse/76 0
ggplot2/tidyverse/1929 0
dplyr/tidyverse/1827 0
dplyr/tidyverse/2231 0
ggplot2/tidyverse/2474 0
dplyr/tidyverse/1263 0
ggplot2/tidyverse/3368 0
dplyr/tidyverse/1826 0
ggplot2/tidyverse/71 0
dplyr/tidyverse/2230 0
ggplot2/tidyverse/1928 0
dplyr/tidyverse/1262 0
dplyr/tidyverse/1825 0
ggplot2/tidyverse/67 0
dplyr/tidyverse/1261 0
dplyr/tidyverse/2229 0
ggplot2/tidyverse/1927 0
tensorflow/rstudio/38 0
dplyr/tidyverse/1824 0
ggplot2/tidyverse/66 0
dplyr/tidyverse/1829 0
dplyr/tidyverse/2232 0
ggplot2/tidyverse/2475 0
ggplot2/tidyverse/3369 0
dplyr/tidyverse/2236 0
ggplot2/tidyverse/1931 0
ggplot2/tidyverse/82 0
ggplot2/tidyverse/2477 0
dplyr/tidyverse/1833 0
dplyr/tidyverse/2235 0
dplyr/tidyverse/1268 0
ggplot2/tidyverse/81 0
dplyr/tidyverse/1832 0
dplyr/tidyverse/1267 0
dplyr/tidyverse/1260 0
dplyr/tidyverse/2234 0
ggplot2/tidyverse/2476 0
ggplot2/tidyverse/3371 0
dplyr/tidyverse/1831 0
dplyr/tidyverse/1266 0
dplyr/tidyverse/2233 0
ggplot2/tidyverse/78 0
dplyr/tidyverse/1830 0
dplyr/tidyverse/1265 0
ggplot2/tidyverse/77 0
ggplot2/tidyverse/1930 0
ggplot2/tidyverse/80 0
ggplot2/tidyverse/1926 0
ggplot2/tidyverse/2473 0
dplyr/tidyverse/2228 0
tensorflow/rstudio/36 0
dplyr/tidyverse/1818 0
ggplot2/tidyverse/55 0
dplyr/tidyverse/1253 0
ggplot2/tidyverse/1923 0
dplyr/tidyverse/2222 0
ggplot2/tidyverse/53 0
dplyr/tidyverse/1252 0
dplyr/tidyverse/1817 0
dplyr/tidyverse/2221 0
dplyr/tidyverse/2223 0
ggplot2/tidyverse/1922 0
dplyr/tidyverse/1251 0
dplyr/tidyverse/2220 0
dplyr/tidyverse/1816 0
tensorflow/rstudio/34 0
ggplot2/tidyverse/49 0
dplyr/tidyverse/1250 0
tensorflow/rstudio/33 0
ggplot2/tidyverse/3364 0
dplyr/tidyverse/2219 0
dplyr/tidyverse/1815 0
ggplot2/tidyverse/51 0
tensorflow/rstudio/24 0
ggplot2/tidyverse/2471 0
dplyr/tidyverse/1819 0
dplyr/tidyverse/1823 0
ggplot2/tidyverse/64 0
tensorflow/rstudio/37 0
ggplot2/tidyverse/1925 0
dplyr/tidyverse/1258 0
dplyr/tidyverse/2227 0
dplyr/tidyverse/1822 0
ggplot2/tidyverse/63 0
ggplot2/tidyverse/3367 0
dplyr/tidyverse/1821 0
dplyr/tidyverse/1254 0
dplyr/tidyverse/2226 0
dplyr/tidyverse/1257 0
ggplot2/tidyverse/1924 0
ggplot2/tidyverse/3365 0
ggplot2/tidyverse/2472 0
dplyr/tidyverse/2225 0
dplyr/tidyverse/1820 0
dplyr/tidyverse/1255 0
ggplot2/tidyverse/57 0
dplyr/tidyverse/2224 0
ggplot2/tidyverse/56 0
ggplot2/tidyverse/60 0
dplyr/tidyverse/1796 0
ggplot2/tidyverse/5 0
dplyr/tidyverse/2203 0
ggplot2/tidyverse/3338 0
dplyr/tidyverse/1771 0
dplyr/tidyverse/1203 0
DiagrammeR/rich-iannone/331 0
ggplot2/tidyverse/2451 0
dplyr/tidyverse/1770 0
dplyr/tidyverse/1202 0
DiagrammeR/rich-iannone/330 0
dplyr/tidyverse/1769 0
dplyr/tidyverse/1201 0
DiagrammeR/rich-iannone/329 0
ggplot2/tidyverse/2450 0
tensorflow/rstudio/11 0
dplyr/tidyverse/1767 0
dplyr/tidyverse/2182 0
dplyr/tidyverse/1200 0
DiagrammeR/rich-iannone/328 0
dplyr/tidyverse/1766 0
dplyr/tidyverse/2180 0
ggplot2/tidyverse/1901 0
DiagrammeR/rich-iannone/327 0
tensorflow/rstudio/14 0
dplyr/tidyverse/2183 0
DiagrammeR/rich-iannone/332 0
dplyr/tidyverse/1204 0
ggplot2/tidyverse/1903 0
ggplot2/tidyverse/2453 0
dplyr/tidyverse/1210 0
dplyr/tidyverse/2187 0
DiagrammeR/rich-iannone/335 0
dplyr/tidyverse/1776 0
dplyr/tidyverse/1209 0
dplyr/tidyverse/2186 0
dplyr/tidyverse/1775 0
ggplot2/tidyverse/1902 0
ggplot2/tidyverse/3337 0
DiagrammeR/rich-iannone/334 0
ggplot2/tidyverse/3340 0
dplyr/tidyverse/1208 0
dplyr/tidyverse/1774 0
DiagrammeR/rich-iannone/333 0
dplyr/tidyverse/2185 0
ggplot2/tidyverse/3339 0
dplyr/tidyverse/1773 0
dplyr/tidyverse/1205 0
dplyr/tidyverse/2184 0
dplyr/tidyverse/1772 0
ggplot2/tidyverse/2452 0
dplyr/tidyverse/1199 0
dplyr/tidyverse/2179 0
tensorflow/rstudio/10 0
dplyr/tidyverse/1760 0
dplyr/tidyverse/2174 0
dplyr/tidyverse/1194 0
dplyr/tidyverse/1759 0
dplyr/tidyverse/2173 0
dplyr/tidyverse/1193 0
ggplot2/tidyverse/3334 0
dplyr/tidyverse/1758 0
dplyr/tidyverse/2172 0
ggplot2/tidyverse/1897 0
DiagrammeR/rich-iannone/319 0
dplyr/tidyverse/1192 0
ggplot2/tidyverse/3333 0
dplyr/tidyverse/2171 0
ggplot2/tidyverse/2434 0
dplyr/tidyverse/1191 0
ggplot2/tidyverse/1896 0
dplyr/tidyverse/2170 0
dplyr/tidyverse/1756 0
dplyr/tidyverse/1190 0
dplyr/tidyverse/2169 0
ggplot2/tidyverse/2432 0
dplyr/tidyverse/1757 0
dplyr/tidyverse/2188 0
ggplot2/tidyverse/3335 0
dplyr/tidyverse/2175 0
dplyr/tidyverse/1765 0
DiagrammeR/rich-iannone/326 0
dplyr/tidyverse/1198 0
ggplot2/tidyverse/2449 0
