Dumped model
['perspective_score', 'stanford_polite']
Looping through test_issues
Idris-dev/idris-lang/1114 0
Idris-dev/idris-lang/2811 0
wire-server/wireapp/189 0
yesod/yesodweb/444 0
Idris-dev/idris-lang/3855 0
Idris-dev/idris-lang/1113 0
wire-server/wireapp/188 0
Idris-dev/idris-lang/1983 0
Idris-dev/idris-lang/1984 0
yesod/yesodweb/424 0
yesod/yesodweb/449 0
Idris-dev/idris-lang/3859 0
yesod/yesodweb/454 0
wire-server/wireapp/208 0
Idris-dev/idris-lang/3861 0
Idris-dev/idris-lang/1119 0
Idris-dev/idris-lang/1989 0
yesod/yesodweb/1010 0
Idris-dev/idris-lang/2816 0
Idris-dev/idris-lang/3860 0
stack/commercialhaskell/4317 0
yesod/yesodweb/453 0
Idris-dev/idris-lang/1988 0
Idris-dev/idris-lang/1118 0
wire-server/wireapp/203 0
wire-server/wireapp/207 0
yesod/yesodweb/1009 0
Idris-dev/idris-lang/2815 0
stack/commercialhaskell/4316 0
wire-server/wireapp/206 0
yesod/yesodweb/451 0
yesod/yesodweb/1008 0
Idris-dev/idris-lang/2814 0
Idris-dev/idris-lang/1987 0
stack/commercialhaskell/4315 0
wire-server/wireapp/204 0
yesod/yesodweb/450 0
Idris-dev/idris-lang/1117 0
yesod/yesodweb/452 0
yesod/yesodweb/464 0
Idris-dev/idris-lang/1973 0
wire-server/wireapp/152 0
Idris-dev/idris-lang/2782 0
stack/commercialhaskell/4277 0
Idris-dev/idris-lang/1951 0
wire-server/wireapp/85 0
yesod/yesodweb/409 0
Idris-dev/idris-lang/1060 0
Idris-dev/idris-lang/2781 0
stack/commercialhaskell/4276 0
yesod/yesodweb/408 0
Idris-dev/idris-lang/1950 0
wire-server/wireapp/80 0
yesod/yesodweb/979 0
Idris-dev/idris-lang/1059 0
Idris-dev/idris-lang/2780 0
Idris-dev/idris-lang/1949 0
wire-server/wireapp/79 0
Idris-dev/idris-lang/2779 0
Idris-dev/idris-lang/1948 0
yesod/yesodweb/978 0
wire-server/wireapp/78 0
yesod/yesodweb/977 0
Idris-dev/idris-lang/1058 0
Idris-dev/idris-lang/2778 0
stack/commercialhaskell/4275 0
wire-server/wireapp/77 0
yesod/yesodweb/980 0
Idris-dev/idris-lang/3821 0
Idris-dev/idris-lang/1061 0
yesod/yesodweb/410 0
Idris-dev/idris-lang/1065 0
yesod/yesodweb/414 0
Idris-dev/idris-lang/1952 0
Idris-dev/idris-lang/3825 0
yesod/yesodweb/982 0
wire-server/wireapp/98 0
Idris-dev/idris-lang/1064 0
Idris-dev/idris-lang/2787 0
wire-server/wireapp/95 0
