['perspective_score', 'stanford_polite']
Looping through test_issues
G87/goje87/3 0
test_git/ZenChen/1 0
highlight.js/isagalaev/68 0
smartcd/cxreg/4 0
puppetlabs-rabbitmq/puppetlabs/14 0
bundler/bundler/1831 0
SimpleCV/ingenuitas/67 0
silk/bheap/10 0
puppetlabs-mysql/puppetlabs/57 0
refinerycms/refinery/1577 0
compton/chjj/22 0
arquillian.github.com/arquillian/89 0
silk/bheap/7 0
xvp8/DarkShikari/7 0
java-faker/DiUS/2 0
openFrameworks/openframeworks/1152 0
zepto/madrobby/473 0
Redmine-Scrumbler/256MbTeam/58 0
browsercms/browsermedia/502 0
iOS-Inspired-jQuery-Mobile-Theme/taitems/23 0
AppLauncher/commontk/17 0
liferay-portal/brianchandotcom/4887 0
silverstripe-simple/silverstripe-themes/2 0
buster/busterjs/151 0
Sick-Beard/midgetspy/358 0
0x10c-Standards/0x10cStandardsCommittee/29 0
scalaua.github.com/scalaua/2 0
node-mysql-libmysqlclient/Sannis/125 0
zepto/madrobby/475 0
inject/linkedin/95 0
0x10c-Standards/0x10cStandardsCommittee/27 0
browsercms/browsermedia/503 0
iOS-Inspired-jQuery-Mobile-Theme/taitems/24 0
Edit-Flow/danielbachhuber/74 0
zepto/madrobby/474 0
IDBWrapper/jensarps/6 0
iOS-Inspired-jQuery-Mobile-Theme/taitems/25 0
Plasma/H-uru/192 0
apt-fast/ilikenwf/4 0
shogun/shogun-toolbox/436 0
libpd/libpd/8 0
aenetmail/andyedinborough/67 0
io/stevedekorte/199 0
jPlayer/happyworm/77 0
AFNetworking/AFNetworking/287 0
hazelcast/hazelcast/117 0
virtuoso-opensource/openlink/2 0
pficommon/pfi/40 0
config/typesafehub/10 0
procket/msantos/6 0
oenology/chipbennett/65 0
phpedia.github.com/phpedia/3 0
vim-rails/tpope/154 0
imreg/pyimreg/3 0
has_enumeration/gregspurrier/5 0
oenology/chipbennett/64 0
bundler/bundler/1828 0
0x10c-Standards/0x10cStandardsCommittee/34 0
bundler/bundler/1829 0
TVShows/victorpimentel/42 0
ZfcBase/ZF-Commons/6 0
rspec-expectations/rspec/136 0
Boomgo/Retentio/20 0
Awesome-New-Tab-Page/NewTabPage/16 0
qcm/gaslight/1 0
clay/jckarter/259 0
Awesome-New-Tab-Page/NewTabPage/17 0
mosh/mobile-shell/96 0
descriptors/shrinkwrap/58 0
in-my-words/testdouble/5 0
mod_redis/sneakybeaky/5 0
bundler/bundler/1830 0
phc/pbiggar/1 0
in-my-words/testdouble/3 0
TVShows/victorpimentel/41 0
mono/mono/272 0
AFNetworking/AFNetworking/288 0
cookbooks/rightscale/1 0
PhotoShow/thibaud-rohmer/131 0
webplatform-framework/blackberry-webworks/23 0
Jokels/sylturner/23 0
Easy-Digital-Downloads/pippinsplugins/5 0
FeatureToggleBundle/marekkalnik/1 0
middleman/middleman/352 0
Jokels/sylturner/22 0
idfind/CottageLabs/30 0
SCII-External-Maphack/MrNukealizer/170 0
Easy-Digital-Downloads/pippinsplugins/4 0
flask-restless/jfinkels/48 0
Jokels/sylturner/21 0
middleman/middleman/351 0
SCII-External-Maphack/MrNukealizer/169 0
flask-restless/jfinkels/47 0
refinerycms/refinery/1579 0
Easy-Digital-Downloads/pippinsplugins/3 0
idfind/CottageLabs/29 0
SCII-External-Maphack/MrNukealizer/171 0
flask-restless/jfinkels/50 0
treasure-chest/acm-uiuc/6 0
bootstrap-sass/thomas-mcdonald/110 0
expecta/petejkim/16 0
Hotot/shellex/206 0
middleman/middleman/353 0
facebook-csharp-sdk/facebook-csharp-sdk/154 0
treasure-chest/acm-uiuc/8 0
jquery-mobile/jquery/3995 0
Jokels/sylturner/19 0
Easy-Digital-Downloads/pippinsplugins/7 0
rdoc/rdoc/111 0
toc/jgallen23/8 0
treasure-chest/acm-uiuc/7 0
jquery-mobile/jquery/3994 0
Easy-Digital-Downloads/pippinsplugins/6 0
llvm-dcpu16/llvm-dcpu16/85 0
SCII-External-Maphack/MrNukealizer/172 0
fabrik/Fabrik/224 0
barclamp-clouderamanager/dellcloudedge/1 0
wp-jquery-lazy-load/ayn/3 0
SCII-External-Maphack/MrNukealizer/168 0
laravel-blade/Medalink/2 0
legit/kennethreitz/57 0
querypath/technosophos/84 0
gobook/miekg/8 0
SCII-External-Maphack/MrNukealizer/164 0
helenus/simplereach/21 0
govkit/opengovernment/25 0
Tax-Meta-Class/bainternet/9 0
recline/okfn/83 0
kindlepdfviewer/hwhw/93 0
SCII-External-Maphack/MrNukealizer/163 0
lesscss-maven-plugin/marceloverdijk/1 0
helenus/simplereach/20 0
apt-fast/ilikenwf/3 0
0x10c-Standards/0x10cStandardsCommittee/32 0
Hotot/shellex/204 0
0x10c-Standards/0x10cStandardsCommittee/33 0
Ushahidi_Web/ushahidi/377 0
SCII-External-Maphack/MrNukealizer/165 0
refinerycms/refinery/1578 0
website/axr/152 0
draper/drapergem/169 0
Jokels/sylturner/18 0
