['perspective_score', 'stanford_polite']
Looping through test_issues
node-v0.x-archive/nodejs/4392 0
table-fixed-header/rubynor/3 0
core/owncloud/810 0
crmcoredemo/Trellon/6 0
qgroundcontrol/mavlink/210 0
uservoice-iphone-sdk/uservoice/85 0
programmes-plant/unikent/82 0
modelmapper/jhalterman/25 0
boxeehack/boxeehacks/162 0
phylografter/OpenTreeOfLife/16 0
requestpolicy/RequestPolicy/355 0
tabulous/techiferous/21 0
khan-exercises/Khan/35640 0
dotfiles/Soliah/2 0
Aplv.org/rfay/25 0
django-transaction-signals/davehughes/8 0
inuit.css/csswizardry/77 0
rqt/ros-visualization/48 0
Talk/zooniverse/27 0
ISRefreshControl/ishkawa/2 0
githtml/ryt/9 0
common-core-metadata-schema/project-open-data/4 0
innoextract/dscharrer/21 0
snowplow/snowplow/106 0
OCMapView/yinkou/11 0
community.linuxmint.com/linuxmint/56 0
bbUI.js/blackberry/509 0
grails-rest-client-builder/grails-plugins/10 0
TouchDB-iOS/couchbaselabs/197 0
django-jquery-file-upload/sigurdga/21 0
jobgenerator-jenkins/syl20bnr/6 0
Theano/Theano/1130 0
simplekv/mbr/8 0
etherpad-lite/ether/1279 0
devtools/datamapper/2 0
testacular/vojtajina/228 0
MAT.jl/simonster/5 0
class2go/Stanford-Online/1456 0
21M359Fall2012/cgdolan/18 0
innoextract/dscharrer/14 0
asu_feedback/agold2/1 0
phonegap-ua-push/urbanairship/19 0
ohmageServer/cens/465 0
sage-on-gentoo/cschwan/177 0
klubb/nyfagel/1 0
digital_cinema_tools_distribution/wolfgangw/6 0
hw2-team06/KentonMurray/20 0
cryptominisat/msoos/16 0
CGIP/transparencyint/91 0
openslide/openslide/110 0
alloyui.com/liferay/71 0
nut/AlekSi/11 0
http-conduit-browser/exbb2/5 0
em-proxy/igrigorik/30 0
common-core-metadata-schema/project-open-data/3 0
root_numpy/rootpy/20 0
plfs-core/plfs/157 0
pulWifi/pulWifi/7148 0
easel/nielsmadan/1 0
GameOfLifeGDCR12/avihut/1 0
SGKnowledgeBaseBundle/servergrove/1 0
klang/Journeyer/3 0
bbPress-Genesis-Extend/jaredatch/2 0
MediaElch/Komet/178 0
tlsdate/ioerror/45 0
hw2-team12/sjauhar/22 0
taglib/taglib/89 0
boxeehack/boxeehacks/164 0
MonoGame/MonoGame/1055 0
motion-addressbook/alexrothenberg/14 0
Dazzle/hbons/12 0
uberon/cmungall/160 0
publisher/alphagov/63 0
i2cssh/wouterdebie/17 0
YetAnotherRelogger/sinterlkaas/5 0
tlsdate/ioerror/46 0
cms/gleez/24 0
rubygems/rubygems/415 0
gmusicapi/simon-weber/55 0
DataFrames.jl/HarlanH/106 0
fog/fog/1362 0
DayZMod/R4Z0R49/152 0
ImageBacon/Axxim/8 0
ITPFloatingShare/ITPrism/6 0
common/doctrine/232 0
reuleaux-selectors/wilkie/1 0
ruby-trello/jeremytregunna/28 0
redmine_embedded/reubenmallaby/4 0
tent/PrimeRevenue/87 0
qiime_web_app/qiime/80 0
Genghis/kadaki01/7 0
computer-database-mongo/bjartek/6 0
SCIRunGUIPrototype/SCIInstitute/132 0
citysides/MaximeCouasnon/8 0
vcstools/vcstools/37 0
node-shell/wdavidw/10 0
rose/metomi/263 0
yasl/b-ono/13 0
devise_ldap_authenticatable/cschiewek/114 0
pulWifi/pulWifi/7146 0
stashwars/aaroncox/2 0
DayZ-Private/ayan4m1/544 0
jquery-mockjax/appendto/83 0
toc-django/oregonarc/19 0
underscore-rails/rweng/11 0
pulWifi/pulWifi/7147 0
guard-jasmine/netzpirat/94 0
act/aerospike/1 0
wsabi2/nbcl-kayee/137 0
Instagram-PHP-API/macuenca/12 0
redmine_process_frameworks/geron-cn/6 0
MonoGame/MonoGame/1052 0
Sylius-Sandbox/Sylius/82 0
webwork2/openwebwork/16 0
gaia-ui-tests/mozilla/178 0
github-backup/ignite/1 0
core/owncloud/813 0
Net-Graphite/slanning/1 0
