['perspective_score', 'stanford_polite']
Looping through test_issues
UKRegionTest/koorellasuresh/94348 0
openshift-docs/openshift/7034 0
Semantic-UI-React/Semantic-Org/2414 0
ember-2-legacy/emberjs/43 0
python-django/opentracing-contrib/15 0
jest/facebook/5250 0
simple-website/dmil/22 0
sp-dev-docs/SharePoint/1213 0
react-native-image-page/Canner/9 0
dns/18F/186 0
xpdAcq/xpdAcq/467 0
PyImgur/Damgaard/35 0
nixpkgs/NixOS/33621 0
dcos-commons/mesosphere/2055 0
istio/istio/2470 0
Empirical-Core/empirical-org/3664 0
doc.nuxeo.com-content/nuxeo/574 0
duty-officer-addon/smcsar/20 0
SchoolExplained_project/STJRush/1 0
morpheus/tutorcruncher/97 0
jbosstools-fuse/jbosstools/1218 0
cubrid/CUBRID/944 0
tutorials.ubuntu.com/canonical-websites/616 0
wekan/wekan/1424 0
aida/instedd/52 0
fip/mattberjon/9 0
ansible-vmware_drs/napalm255/56 0
reaction/reactioncommerce/3454 0
dragonbot/Purpzie/4 0
appledata/osmlab/27 0
MISP-Taxii-Server/MISP/34 0
xmrig-proxy/xmrig/76 0
katalon-studio-docker/katalon-studio/2 0
fabric8-ux/fabric8-ui/807 0
kubevirt/kubevirt/635 0
vr-in-vr/worldmaking/1 0
tribe-common/moderntribe/597 0
py-component-controller/neetjn/30 0
LazyLibrarian/DobyTang/1177 0
eco/softdevteam/202 0
univalue/bitcoin-core/11 0
cgal/CGAL/2720 0
agent-subscription/hmrc/60 0
Laravel-Vue-Passport-Authentication/osamamohsen/1 0
Construct-3-bugs/Scirra/1151 0
E2E_DocsBranch_Prod_Dynamic/OPS-E2E-Prod/12738 0
admin-andamiaje-co/interglobalvision/3 0
donation-system/survival/31 0
tiny-slider/ganlanyuan/131 0
cmc-claim-store/hmcts/137 0
neo4j/neo4jrb/1463 0
pentaho-kettle/pentaho/4768 0
Marlin/MarlinFirmware/9101 0
phase_sniffles/schatzlab/1 0
whitenoise/evansd/170 0
worldview/nasa-gibs/653 0
fusion-core/fusionjs/62 0
openshift-docs/openshift/7035 0
HeartsAndMinds/Vdauphin/466 0
alertmanager2es/criteo-forks/2 0
wp-graphql-jwt-authentication/wp-graphql/3 0
annotations/blacklabel/77 0
eviction-lab-website/EvictionLab/16 0
fabric/lstjsuperman/36704 0
HELICS-src/GMLC-TDC/61 0
react-native-web/necolas/757 0
liferay-portal/jbalsas/939 0
GameCreator/PixelVision8/580 0
VegaLite.jl/fredo-dedup/35 0
cilium/cilium/2469 0
UKRegionTest/koorellasuresh/94650 0
terraform-provider-aws/terraform-providers/2894 0
neo-gui-wpf/CityOfZion/130 0
rop/druids/6 0
checkedc/Microsoft/247 0
bookshelf-advanced-serialization/sequiturs/11 0
analytics-ruby/segmentio/146 0
auto.js3-issues/hyb1996-guest/7632 0
pvextractor/radio-astro-tools/86 0
etools-issues/unicef/1079 0
rails_server_timings/dpogue/8 0
hello-world/TKHDatSci/1 0
zotfile/jlegewie/329 0
mewpoke/criteo/20 0
pact-jvm/DiUS/617 0
auto.js3-issues/hyb1996-guest/7631 0
node-jenkins/silas/50 0
caption/hectorsector/2 0
mltoolbox/eegkno/81 0
auto.js3-issues/hyb1996-guest/7690 0
filters/ros/18 0
protobuf-activerecord/liveh2o/37 0
fbnyc-volunteer-engagement-portal/seanttaylor/16 0
kademi-dev/Kademi/4755 0
gatling-docker/pedroxs/1 0
openshift-docs/openshift/7033 0
aws-cli/aws/3076 0
Openki/Openki/1124 0
joomla-cms/joomla/19334 0
activiti.github.io/Activiti/2 0
directory-sso-profile/uktrade/97 0
register/org-id/165 0
Ferma/Syncleus/41 0
cheatsheets/rstudio/24 0
pbx-candidate-answers/project-cx/10 0
hubzone-webmap/USSBA/230 0
DAAB/InFact-coop/2 0
ParallelIO/ACME-Climate/31 0
preupgrade-assistant-modules/upgrades-migrations/50 0
mitmproxy/mitmproxy/2774 0
qss-solver-mmoc/CIFASIS/28 0
ArduinoCore-samd/arduino/291 0
jenkins-library/SAP/46 0
minecolonies/Minecolonies/1986 0
UKRegionTest/koorellasuresh/94698 0
openshift-ansible/openshift/6651 0
auto.js3-issues/hyb1996-guest/7667 0
homebrew-core/Homebrew/22576 0
fs-permit-platform/nciinc/268 0
prj-rev-bwfs-dasmoto/sdhunt/4 0
apps/CubicERP/3 0
graphql-bundle/ynloultratech/5 0
digitalmarketplace-frontend-toolkit/alphagov/396 0
DirectXShaderCompiler/Microsoft/975 0
jsxtreme-markdown/mapbox/34 0
synapse/vertexproject/600 0
personal_code/smernagh/19 0
convert-figma-svgs-for-react/zchsh/1 0
GitHubQAAutomation43930165-a4b3-491f-b1a8-e29ea2e4b146/Sym123Blue/1 0
subtitleedit/SubtitleEdit/2703 0
CTS/MercerU-TCO/87 0
vim-es6/isRuslan/20 0
minecolonies/Minecolonies/1987 0
dutch-exchange/gnosis/106 0
fs-permit-platform/nciinc/267 0
docs/cakephp/5527 0
SnowTricks/Julien-Butty/4 0
govuk-design-system/alphagov/112 0
signcla-probe-repo/google-test/46044 0
policies/rightscale/53 0
terracotta-core/Terracotta-OSS/824 0
consul/consul/2281 0
cargo-travis/roblabla/23 0
everypolitician-data/everypolitician/72015 0
p3c/alibaba/227 0
nagios-plugins/nagios-plugins/353 0
usercss-parser/StylishThemes/2 0
SABlurImageView/marty-suzuki/45 0
pyro/uber/668 0
auto.js3-issues/hyb1996-guest/7633 0
puppetlabs-docker/puppetlabs/106 0
website/WormBase/6082 0
clara-site/cerner/26 0
laravel-ovh-sms/MarceauKa/6 0
muchos/astralway/205 0
temposeqcount/demis001/23 0
hello-world2/Tzar2nd/2 0
ros/ros/163 0
cython/cython/2061 0
ace/daisy/148 0
xmr-stak/fireice-uk/837 0
opm-simulators/OPM/1380 0
caffe/weiliu89/827 0
signcla-probe-repo/google-test/46072 0
UKRegionTest/koorellasuresh/94620 0
UKRegionTest/koorellasuresh/94640 0
vscode-sqflint/SkaceKamen/20 0
Monopoly.py/Funtaztic/15 0
azure-iot-sdk-node/Azure/193 0
picolisp-json/aw/6 0
woocommerce/woocommerce/18385 0
openshift-origin/Microsoft/53 0
Qbundle/PoC-Consortium/17 0
doit/pydoit/227 0
kokkos/kokkos/1327 0
GameCreator/PixelVision8/581 0
Rocket.Chat/RocketChat/9355 0
lime-packages/libremesh/277 0
caseopening/tuz1k/3 0
notebook/jupyter/3188 0
vanilla/vanilla-music/708 0
security-updates.ko-kr/MicrosoftDocs/76 0
fnordig.de/badboy/6 0
sxiv/muennich/300 0
liferay-portal/brianchandotcom/54168 0
mf-geoadmin3/geoadmin/4100 0
svgo/svg/891 0
skipjaq-artifacts/automated-acceptance-tests/740 0
godot/godotengine/15490 0
gitbook/GitbookIO/1958 0
spaCy/explosion/1811 0
honko-damagecalc/Zarel/215 0
archivematica/artefactual/874 0
realm-java/realm/5665 0
HPCC-Platform/hpcc-systems/10767 0
masonite/josephmancuso/22 0
git4c/NetworkedAssets/7 0
grpc-go/grpc/1783 0
conda-smithy/conda-forge/640 0
ledger-wallet-ripple/LedgerHQ/36 0
ckeditor5/ckeditor/764 0
guide/hobby-kube/26 0
letsencrypt-dynect-hook/mdevreugd/1 0
zoekt/google/33 0
Episodes/guptachetan1997/12 0
json-schema-spec/json-schema-org/529 0
